"Year","cpi_score","iso_3"
1998,NA,"AFG"
1999,NA,"AFG"
2000,NA,"AFG"
2001,NA,"AFG"
2002,NA,"AFG"
2003,NA,"AFG"
2004,NA,"AFG"
2005,2.5,"AFG"
2006,NA,"AFG"
2007,1.8,"AFG"
2008,1.5,"AFG"
2009,1.3,"AFG"
1998,NA,"ALB"
1999,2.3,"ALB"
2000,NA,"ALB"
2001,NA,"ALB"
2002,2.5,"ALB"
2003,2.5,"ALB"
2004,2.5,"ALB"
2005,2.4,"ALB"
2006,2.6,"ALB"
2007,2.9,"ALB"
2008,3.4,"ALB"
2009,3.2,"ALB"
1998,NA,"DZA"
1999,NA,"DZA"
2000,NA,"DZA"
2001,NA,"DZA"
2002,NA,"DZA"
2003,2.6,"DZA"
2004,2.7,"DZA"
2005,2.8,"DZA"
2006,3.1,"DZA"
2007,3,"DZA"
2008,3.2,"DZA"
2009,2.8,"DZA"
1998,NA,"AGO"
1999,NA,"AGO"
2000,1.7,"AGO"
2001,NA,"AGO"
2002,1.7,"AGO"
2003,1.8,"AGO"
2004,2,"AGO"
2005,2,"AGO"
2006,2.2,"AGO"
2007,2.2,"AGO"
2008,1.9,"AGO"
2009,1.9,"AGO"
1998,3,"ARG"
1999,3,"ARG"
2000,3.5,"ARG"
2001,3.5,"ARG"
2002,2.8,"ARG"
2003,2.5,"ARG"
2004,2.5,"ARG"
2005,2.8,"ARG"
2006,2.9,"ARG"
2007,2.9,"ARG"
2008,2.9,"ARG"
2009,2.9,"ARG"
1998,NA,"ARM"
1999,2.5,"ARM"
2000,2.5,"ARM"
2001,NA,"ARM"
2002,NA,"ARM"
2003,3,"ARM"
2004,3.1,"ARM"
2005,2.9,"ARM"
2006,2.9,"ARM"
2007,3,"ARM"
2008,2.9,"ARM"
2009,2.7,"ARM"
1998,8.7,"AUS"
1999,8.7,"AUS"
2000,8.3,"AUS"
2001,8.5,"AUS"
2002,8.6,"AUS"
2003,8.8,"AUS"
2004,8.8,"AUS"
2005,8.8,"AUS"
2006,8.7,"AUS"
2007,8.6,"AUS"
2008,8.7,"AUS"
2009,8.7,"AUS"
1998,7.5,"AUT"
1999,7.6,"AUT"
2000,7.7,"AUT"
2001,7.8,"AUT"
2002,7.8,"AUT"
2003,8,"AUT"
2004,8.4,"AUT"
2005,8.7,"AUT"
2006,8.6,"AUT"
2007,8.1,"AUT"
2008,8.1,"AUT"
2009,7.9,"AUT"
1998,NA,"AZE"
1999,1.7,"AZE"
2000,1.5,"AZE"
2001,2,"AZE"
2002,2,"AZE"
2003,1.8,"AZE"
2004,1.9,"AZE"
2005,2.2,"AZE"
2006,2.4,"AZE"
2007,2.1,"AZE"
2008,1.9,"AZE"
2009,2.3,"AZE"
1998,NA,"BHS"
1999,NA,"BHS"
2000,NA,"BHS"
2001,NA,"BHS"
2002,NA,"BHS"
2003,NA,"BHS"
2004,NA,"BHS"
2005,NA,"BHS"
2006,NA,"BHS"
2007,NA,"BHS"
2008,NA,"BHS"
2009,NA,"BHS"
1998,NA,"BHR"
1999,NA,"BHR"
2000,NA,"BHR"
2001,NA,"BHR"
2002,NA,"BHR"
2003,6.1,"BHR"
2004,5.8,"BHR"
2005,5.8,"BHR"
2006,5.7,"BHR"
2007,5,"BHR"
2008,5.4,"BHR"
2009,5.1,"BHR"
1998,NA,"BGD"
1999,NA,"BGD"
2000,NA,"BGD"
2001,0.4,"BGD"
2002,1.2,"BGD"
2003,1.3,"BGD"
2004,1.5,"BGD"
2005,1.7,"BGD"
2006,2,"BGD"
2007,2,"BGD"
2008,2.1,"BGD"
2009,2.4,"BGD"
1998,NA,"BRB"
1999,NA,"BRB"
2000,NA,"BRB"
2001,NA,"BRB"
2002,NA,"BRB"
2003,NA,"BRB"
2004,7.3,"BRB"
2005,6.9,"BRB"
2006,6.7,"BRB"
2007,6.9,"BRB"
2008,7,"BRB"
2009,7.4,"BRB"
1998,3.9,"BLR"
1999,3.4,"BLR"
2000,4.1,"BLR"
2001,NA,"BLR"
2002,4.8,"BLR"
2003,4.2,"BLR"
2004,3.3,"BLR"
2005,2.6,"BLR"
2006,2.1,"BLR"
2007,2.1,"BLR"
2008,2,"BLR"
2009,2.4,"BLR"
1998,5.4,"BEL"
1999,5.3,"BEL"
2000,6.1,"BEL"
2001,6.6,"BEL"
2002,7.1,"BEL"
2003,7.6,"BEL"
2004,7.5,"BEL"
2005,7.4,"BEL"
2006,7.3,"BEL"
2007,7.1,"BEL"
2008,7.3,"BEL"
2009,7.1,"BEL"
1998,NA,"BLZ"
1999,NA,"BLZ"
2000,NA,"BLZ"
2001,NA,"BLZ"
2002,NA,"BLZ"
2003,4.5,"BLZ"
2004,3.8,"BLZ"
2005,3.7,"BLZ"
2006,3.5,"BLZ"
2007,3,"BLZ"
2008,2.9,"BLZ"
2009,NA,"BLZ"
1998,NA,"BEN"
1999,NA,"BEN"
2000,NA,"BEN"
2001,NA,"BEN"
2002,NA,"BEN"
2003,NA,"BEN"
2004,3.2,"BEN"
2005,2.9,"BEN"
2006,2.5,"BEN"
2007,2.7,"BEN"
2008,3.1,"BEN"
2009,2.9,"BEN"
1998,NA,"BTN"
1999,NA,"BTN"
2000,NA,"BTN"
2001,NA,"BTN"
2002,NA,"BTN"
2003,NA,"BTN"
2004,NA,"BTN"
2005,NA,"BTN"
2006,6,"BTN"
2007,5,"BTN"
